Gene,Mean Absolute DeepLIFT
ENSG00000198918.7,0.0126208225
ENSG00000105372.6,0.011739594
ENSG00000136942.14,0.010723057
ENSG00000161011.19,0.010501214
ENSG00000198886.2,0.009694411
ENSG00000174444.14,0.009388784
ENSG00000198840.2,0.009322955
ENSG00000137154.12,0.008925267
ENSG00000170889.13,0.008565515
ENSG00000116209.11,0.008370187
ENSG00000167526.13,0.008273779
ENSG00000147604.13,0.008206424
ENSG00000174021.10,0.008148345
ENSG00000228253.1,0.007898519
ENSG00000131100.12,0.00776079
ENSG00000198695.2,0.0077241696
ENSG00000109475.16,0.0077224392
ENSG00000113732.8,0.007631611
ENSG00000143933.16,0.0076304665
ENSG00000090013.9,0.0075069633
ENSG00000163191.5,0.0073474837
ENSG00000276168.1,0.007062437
ENSG00000206503.11,0.0070495387
ENSG00000104964.14,0.006981891
ENSG00000156976.14,0.006938489
ENSG00000204387.12,0.0069118445
ENSG00000151366.12,0.006848636
ENSG00000125356.6,0.006787129
ENSG00000110955.8,0.006785594
ENSG00000092010.14,0.006640472
ENSG00000108107.12,0.006631331
ENSG00000234851.4,0.0065948744
ENSG00000241343.9,0.0065758796
ENSG00000163041.9,0.0064609316
ENSG00000212907.2,0.006385768
ENSG00000125971.16,0.0063846707
ENSG00000133112.16,0.0063457615
ENSG00000099341.11,0.0063103386
ENSG00000172354.9,0.006188606
ENSG00000167996.15,0.0061701364
ENSG00000112306.7,0.006123924
ENSG00000089157.15,0.006104793
ENSG00000169714.16,0.0060695736
ENSG00000126261.12,0.006057031
ENSG00000104852.14,0.0060425345
ENSG00000159176.13,0.0059842076
ENSG00000144713.12,0.005977938
ENSG00000164587.11,0.0059340615
ENSG00000125970.11,0.005922089
ENSG00000182149.20,0.0058617014
ENSG00000185624.14,0.005818704
ENSG00000035862.12,0.005749866
ENSG00000184900.15,0.0057226764
ENSG00000118181.10,0.005715104
ENSG00000090006.17,0.005678406
ENSG00000104904.12,0.0056570834
ENSG00000166741.7,0.0056348382
ENSG00000231389.7,0.0056265914
ENSG00000107262.16,0.005616199
ENSG00000103249.17,0.005609175
ENSG00000103495.13,0.005603755
ENSG00000101365.20,0.005593224
ENSG00000173020.10,0.005587618
ENSG00000240184.6,0.0055685453
ENSG00000087245.12,0.005565972
ENSG00000211592.6,0.005561238
ENSG00000100412.15,0.0055503612
ENSG00000135535.14,0.005540131
ENSG00000198843.12,0.005450885
ENSG00000165678.19,0.0053971345
ENSG00000124299.13,0.005383355
ENSG00000171530.13,0.0053789574
ENSG00000129625.12,0.0053766044
ENSG00000175130.6,0.0053512966
ENSG00000138413.13,0.0053503285
ENSG00000034713.7,0.005349554
ENSG00000135486.17,0.0053280503
ENSG00000006125.16,0.0053036287
ENSG00000051108.14,0.0052938852
ENSG00000156261.12,0.0052861837
ENSG00000179115.10,0.0052851047
ENSG00000162521.18,0.0052740923
ENSG00000078369.17,0.005248776
ENSG00000100836.10,0.005237801
ENSG00000182199.10,0.0052201715
ENSG00000152795.17,0.0052157966
ENSG00000107223.12,0.005197753
ENSG00000179134.14,0.0051921345
ENSG00000110108.9,0.0051616128
ENSG00000101940.17,0.0051522027
ENSG00000135720.12,0.005149625
ENSG00000179085.7,0.0051356386
ENSG00000140105.17,0.0051285005
ENSG00000142168.14,0.005115715
ENSG00000105193.8,0.005108028
ENSG00000142541.16,0.005074959
ENSG00000110442.11,0.0050565773
ENSG00000071859.14,0.0050139795
ENSG00000115875.18,0.004987687
ENSG00000124172.9,0.0049822936
