Gene,Mean Absolute DeepLIFT
ENSG00000234648.1,0.0064247465
ENSG00000106541.11,0.0052063814
ENSG00000163814.7,0.0038485592
ENSG00000211892.3,0.0037767563
ENSG00000241484.9,0.0036952528
ENSG00000101825.7,0.003673789
ENSG00000163431.12,0.0035536995
ENSG00000105289.14,0.0034654597
ENSG00000117595.10,0.0033611234
ENSG00000240801.1,0.0033482155
ENSG00000211598.2,0.0031481548
ENSG00000138755.5,0.003108023
ENSG00000143375.14,0.0030725468
ENSG00000211893.3,0.003071015
ENSG00000132698.13,0.0030155033
ENSG00000133169.5,0.003005503
ENSG00000277027.1,0.0029960098
ENSG00000266872.1,0.002994066
ENSG00000125398.5,0.0029599932
ENSG00000069535.13,0.0029280824
ENSG00000009950.15,0.002904001
ENSG00000196754.10,0.002892673
ENSG00000112562.18,0.0028590176
ENSG00000188153.12,0.0028578904
ENSG00000267697.1,0.0028350686
ENSG00000167880.7,0.0028179043
ENSG00000153714.5,0.0027889481
ENSG00000135744.7,0.0027846538
ENSG00000211897.7,0.0027775606
ENSG00000250786.1,0.002776837
ENSG00000174175.16,0.0027605377
ENSG00000139737.21,0.0026757047
ENSG00000137285.9,0.0026497212
ENSG00000101210.10,0.002631422
ENSG00000101057.15,0.002612152
ENSG00000011347.9,0.002604448
ENSG00000008323.15,0.002584784
ENSG00000223572.9,0.0025695607
ENSG00000163629.12,0.002567405
ENSG00000105894.11,0.0025648235
ENSG00000169679.14,0.0025627012
ENSG00000112559.13,0.002558294
ENSG00000269981.1,0.0025414927
ENSG00000075275.16,0.0025195202
ENSG00000242265.5,0.002490254
ENSG00000198848.12,0.002474277
ENSG00000127585.11,0.0024724663
ENSG00000174640.12,0.002462498
ENSG00000277632.1,0.0024585284
ENSG00000172824.14,0.0024236739
ENSG00000164294.13,0.002406985
ENSG00000134716.9,0.0024049138
ENSG00000184292.6,0.0023838743
ENSG00000260570.1,0.0023593877
ENSG00000211949.3,0.0023592422
ENSG00000090539.15,0.0023553432
ENSG00000163032.11,0.0023464155
ENSG00000266916.5,0.0023410558
ENSG00000211644.2,0.002333083
ENSG00000152154.10,0.0023054655
ENSG00000166963.12,0.002304775
ENSG00000131771.13,0.002297465
ENSG00000269936.3,0.0022909672
ENSG00000154545.16,0.0022864225
ENSG00000145362.16,0.0022745414
ENSG00000137077.7,0.0022679588
ENSG00000046604.12,0.0022630324
ENSG00000149418.10,0.0022497263
ENSG00000265107.2,0.0022467969
ENSG00000145423.4,0.0022280305
ENSG00000108846.15,0.0022220996
ENSG00000101049.14,0.0022213713
ENSG00000269834.5,0.0022201696
ENSG00000158292.6,0.0022197522
ENSG00000198125.12,0.0022145885
ENSG00000100842.12,0.0022089758
ENSG00000147676.13,0.0022010398
ENSG00000233493.3,0.0021958207
ENSG00000139211.6,0.0021905191
ENSG00000165449.11,0.0021846402
ENSG00000118308.14,0.002173564
ENSG00000152056.16,0.0021667748
ENSG00000145649.7,0.0021660128
ENSG00000270550.1,0.002162618
ENSG00000185522.8,0.0021517305
ENSG00000081803.15,0.0021433646
ENSG00000101194.17,0.002116231
ENSG00000117472.9,0.0021003669
ENSG00000236698.1,0.0020941596
ENSG00000134853.11,0.0020865323
ENSG00000184254.16,0.0020752691
ENSG00000196136.16,0.0020700172
ENSG00000167371.16,0.002069713
ENSG00000135144.7,0.0020638304
ENSG00000171848.13,0.0020476542
ENSG00000196569.11,0.0020473676
ENSG00000137203.10,0.002041428
ENSG00000169418.9,0.0020410807
ENSG00000171533.11,0.0020355314
ENSG00000103489.11,0.0020343454
